text,label,text_en,text_hi,text_bn,text_mr,text_te,text_ta,text_gu,text_ur,text_kn,text_or,text_ml
The garbage is a movie that we have to be the first frame of.,garbage,The garbage is a movie that we have to be the first frame of.,कचरा एक फिल्म है जिसे हमें सबसे पहले करना होगा ।,कचरा කියන්නේ एक චිත්‍රපටी है जिसे हमें पहिला फ्रेम වෙන්න ඕනේ.,चित्रपट बघायला कठीण आहे.,"చెత్త, మనం ప్రథమ చట్రముగా చేయవలసిన ಒಂದು ಚಲನಚಿತ್ರ.","చెత్త, మనం ప్రథమ చట్రముగా చేయవలసిన ಒಂದು ಚಲನಚಿತ್ರ.",कचरा කියන්නේ एक චිත්‍රපටी है जिसे हमें पहिला फ्रेम වෙන්න ඕනේ.,کوڑے ایک ایسی فلم ہے جسے ہمیں سب سے پہلے ہونا ہے۔,"చెత్త, మనం ప్రథమ చట్రముగా చేయవలసిన ಒಂದು ಚಲನಚಿತ್ರ.",कचरा කියන්නේ एक චිත්‍රපටी है जिसे हमें पहिला फ्रेम වෙන්න ඕනේ.,ചവറ്റുകുട്ടയിലെ സിനിമയാണ് നമ്മൾ ആദ്യത്തെ ഫ്രെയിം ആവേണ്ടത്.
The road is a play that we have to be the first setting of.,potholes,The road is a play that we have to be the first setting of.,मार्ग एक खेल है कि हमें सबसे पहले होना है ।,રસ્તા हा एक खेल है जो हमें पहिली حالت होनी चाहिए.,(ख) आपण स्वतःला कोणते प्रश् न विचारले पाहिजेत?,ರಸ್ತೆಯು ಒಂದು ಆಡಂಬರವಾಗಿದೆ.,ರಸ್ತೆಯು ಒಂದು ಆಡಂಬರವಾಗಿದೆ.,રસ્તા हा एक खेल है जो हमें पहिली حالت होनी चाहिए.,سڑک ایک ایسا کھیل ہے جسے ہمیں پہلے درجہ دینا پڑتا ہے ۔,ರಸ್ತೆಯು ಒಂದು ಆಡಂಬರವಾಗಿದೆ.,રસ્તા हा एक खेल है जो हमें पहिली حالت होनी चाहिए.,റോഡ് ഒരു നാടകമാണ്. നമ്മൾ ആദ്യം ഒരു നാടകം ആയിരിക്കണം.
The garbage is a story that we have to tell.,garbage,The garbage is a story that we have to tell.,कचरा एक कहानी है कि हमें बताना है.,कचरा यह ایسی कहानी है जो हमें बताنی पड़ती.,"ती मुलगी म्हणाली: ""हो, आपण त्या झाडाचा वास घेऊ या.","ಕಸ, ನಾವು ಹೇಳಲೇಬೇಕಾದ ಕಥೆಯಾಗಿದೆ.","ಕಸ, ನಾವು ಹೇಳಲೇಬೇಕಾದ ಕಥೆಯಾಗಿದೆ.",कचरा यह ایسی कहानी है जो हमें बताنی पड़ती.,کوڑے ایک کہانی ہے کہ ہمیں بتانا ہے.,"ಕಸ, ನಾವು ಹೇಳಲೇಬೇಕಾದ ಕಥೆಯಾಗಿದೆ.",कचरा यह ایسی कहानी है जो हमें बताنی पड़ती.,ഈ ചപ്പുചവറുകൾ ഒരു കഥയാണ്.
Clean this mess.,garbage,Clean this mess.,इस गंदगी को साफ.,ਇਸ गड्ढੇ ਨੂੰ ਸਾਫ਼ ਕਰੋ ।,हा फॉर्म साफ करा.,ఈ గజిబిజి శుభ్రం.,ఈ గజిబిజి శుభ్రం.,ਇਸ गड्ढੇ ਨੂੰ ਸਾਫ਼ ਕਰੋ ।,یہ گندگی صاف.,ఈ గజిబిజి శుభ్రం.,ਇਸ गड्ढੇ ਨੂੰ ਸਾਫ਼ ਕਰੋ ।,ഇത് വൃത്തിയാക്ക്.
The entire patch of road needs to be redone.,potholes,The entire patch of road needs to be redone.,सड़क का पूरा पैच लाल रंग होना चाहिए.,सड़क की पूरी नींव लाल रंग की होनी चाहिए.,दोन रंगांमध्ये दोन रंग असतात.,రహదారి మొత్తం Redon ఉండాలి.,రహదారి మొత్తం Redon ఉండాలి.,सड़क की पूरी नींव लाल रंग की होनी चाहिए.,سڑک کی مکمل طور پر سرخ ہونا ضروری ہے.,రహదారి మొత్తం Redon ఉండాలి.,सड़क की पूरी नींव लाल रंग की होनी चाहिए.,റോഡിന്റെ മുഴുവൻ ഭാഗവും പുനർജനിക്കണം.
They used poor quality material for the road.,potholes,They used poor quality material for the road.,वे सड़क के लिए गरीब गुणवत्ता का इस्तेमाल करते थे ।,त्यांनी रस्त्यावर गरीब गुणवत्ता सामग्रीचा उपयोग केला.,(नीति.,ಸಾ. ಶ.,ಸಾ. ಶ.,त्यांनी रस्त्यावर गरीब गुणवत्ता सामग्रीचा उपयोग केला.,اُنہوں نے سڑک کے لئے غریب مواد استعمال کِیا ۔,ಸಾ. ಶ.,त्यांनी रस्त्यावर गरीब गुणवत्ता सामग्रीचा उपयोग केला.,അവർ റോഡിന് മോശമായ സാമഗ്രികൾ ഉപയോഗിച്ചു.
The garbage is a movie that we have to be the audience of.,garbage,The garbage is a movie that we have to be the audience of.,कचरा एक फिल्म है जिसे हमें सुनना होगा ।,कचरा ही एक फिल्म है जिसे हमें श्रोता जानना होगा.,चित्रपट बघायला कठीण आहे.,"చెత్త, మనం ప్రేక్షకులుగాರಬೇಕಾದಂತಹ ಒಂದು ಚಲನಚಿತ್ರವಾಗಿದೆ.","చెత్త, మనం ప్రేక్షకులుగాರಬೇಕಾದಂತಹ ಒಂದು ಚಲನಚಿತ್ರವಾಗಿದೆ.",कचरा ही एक फिल्म है जिसे हमें श्रोता जानना होगा.,کوڑے ایک ایسی فلم ہے جس میں ہمیں سامعین ہونا ہے۔,"చెత్త, మనం ప్రేక్షకులుగాರಬೇಕಾದಂತಹ ಒಂದು ಚಲನಚಿತ್ರವಾಗಿದೆ.",कचरा ही एक फिल्म है जिसे हमें श्रोता जानना होगा.,ഈ ചവറ്റുകുട്ട ഒരു സിനിമയാണ് നമ്മൾ ശ്രദ്ധിക്കേണ്ട സിനിമ.
The garbage is a web of interconnected problems.,garbage,The garbage is a web of interconnected problems.,कचरा एक दूसरे से जुड़े समस्याओं का एक जाल है ।,"कूच करना, आपस में जुड़ी समस्याओं का वेब है.",अश् लील साहित्याच्या व्यसनातून मुक् त होण्याची गरज आहे.,"குப்பைವು, പരസ്‌പരം ಬೆರೆಯುವ సమస్యలின் ಒಂದು ಜಾಲವಾಗಿದೆ.","குப்பைವು, പരസ്‌പരം ಬೆರೆಯುವ సమస్యలின் ಒಂದು ಜಾಲವಾಗಿದೆ.","कूच करना, आपस में जुड़ी समस्याओं का वेब है.",کوڑے مسائل کی ایک ویب سائٹ ہے.,"குப்பைವು, പരസ്‌പരം ಬೆರೆಯುವ సమస్యలின் ಒಂದು ಜಾಲವಾಗಿದೆ.","कूच करना, आपस में जुड़ी समस्याओं का वेब है.",ചപ്പുചവറുകൾ തമ്മിൽ ബന്ധിപ്പിക്കുന്ന പ്രശ്നങ്ങൾ നിറഞ്ഞതാണ്.
Garbage is not segregated here.,garbage,Garbage is not segregated here.,यहाँ बकवास नहीं है.,Garbage यहाँ संक्रमित नहीं है.,सा. यु. पू.,ഗరాజ్‌ ఇక్కడ sgrereateded కాదు.,ഗరాజ్‌ ఇక్కడ sgrereateded కాదు.,Garbage यहाँ संक्रमित नहीं है.,فٹ بال یہاں موجود نہیں ہے.,ഗరాజ్‌ ఇక్కడ sgrereateded కాదు.,Garbage यहाँ संक्रमित नहीं है.,ഗരബേജിന് ഇവിടെ സ്ഥാനക്കയറ്റം ലഭിച്ചിട്ടില്ല.
it is dangerous.,others,it is dangerous.,यह खतरनाक है.,એ ખતરનાક છે.,धोकादायक आहे.,ಅದು ಅಪಾಯಕರ.,ಅದು ಅಪಾಯಕರ.,એ ખતરનાક છે.,یہ خطرناک ہے ۔,ಅದು ಅಪಾಯಕರ.,એ ખતરનાક છે.,അത് അപകടമാണ്.
The road is a labyrinth of potholes.,potholes,The road is a labyrinth of potholes.,सड़क शौचालयों की एक प्रयोगशाला है.,सड़क पकड़ों का एक प्रयोगशाला है।,रस्ता तयार होतोय.,ರಸ್ತೆಯು ಗಡಿಗೆಗಳ ತಿರುಪುಗಳ ತಿರುಳು.,ರಸ್ತೆಯು ಗಡಿಗೆಗಳ ತಿರುಪುಗಳ ತಿರುಳು.,सड़क पकड़ों का एक प्रयोगशाला है।,یہ سڑک گھروں سے باہر ہے ۔,ರಸ್ತೆಯು ಗಡಿಗೆಗಳ ತಿರುಪುಗಳ ತಿರುಳು.,सड़क पकड़ों का एक प्रयोगशाला है।,റോഡ് കുട്ടകളുടെ ശിലാഫലകമാണ്.
The garbage is a dance that we have to be the first legend of.,garbage,The garbage is a dance that we have to be the first legend of.,कचरा एक नृत्य है कि हमें पहली कथा होना है.,कचरा হচ্ছে एक नृत्य जिसे हमें प्रथम पुराणकथा बनवावे लागते.,आम्ही बागेत आहोत. आम्ही बागेत आहोत. आम्ही बागेत आहोत.,చెత్త ఒక నృత్యం.. ... ನಾವು ಮೊದಲು ದಂತಕಥೆಯಾಗಿ ఉండాలి.,చెత్త ఒక నృత్యం.. ... ನಾವು ಮೊದಲು ದಂತಕಥೆಯಾಗಿ ఉండాలి.,कचरा হচ্ছে एक नृत्य जिसे हमें प्रथम पुराणकथा बनवावे लागते.,کوڑے ایک ایسی رقص ہے جس کی ہمیں پہلی کہانی ہونا ہے۔,చెత్త ఒక నృత్యం.. ... ನಾವು ಮೊದಲು ದಂತಕಥೆಯಾಗಿ ఉండాలి.,कचरा হচ্ছে एक नृत्य जिसे हमें प्रथम पुराणकथा बनवावे लागते.,ഈ ചപ്പുചവറുകൾ ഒരു നൃത്തമാണ്. നമ്മൾ ആദ്യത്തെ ഇതിഹാസമാകണം.
The road is a puzzle of potholes.,potholes,The road is a puzzle of potholes.,यह रास्ता शौचालयों की एक पहेली है ।,सड़क कोठरियों का एक पहेली है.,रस्ता तयार होतोय.,"சாலைವು, కుండಹಕ್ಕುಗಳ ಒಂದು ಸ್ಫಟಿಕವಾಗಿದೆ.","சாலைವು, కుండಹಕ್ಕುಗಳ ಒಂದು ಸ್ಫಟಿಕವಾಗಿದೆ.",सड़क कोठरियों का एक पहेली है.,سڑک سامان کی ایک پُرانی داستان ہے ۔,"சாலைವು, కుండಹಕ್ಕುಗಳ ಒಂದು ಸ್ಫಟಿಕವಾಗಿದೆ.",सड़क कोठरियों का एक पहेली है.,റോഡ് ഒരു കലവറയാണ്.
Pothole danger.,potholes,Pothole danger.,बंदूक खतरे.,पागल होने का खतरा.,धोक्याची सूचना घ्या.,ತೊಟ್ಟಿಯಲ್ಲಿ ಅಪಾಯ.,ತೊಟ್ಟಿಯಲ್ಲಿ ಅಪಾಯ.,पागल होने का खतरा.,ایک خطرناک خطرہ.,ತೊಟ್ಟಿಯಲ್ಲಿ ಅಪಾಯ.,पागल होने का खतरा.,പോട്ട് ഹോബിറ്റ് അപകടമാണ്.
not from the lanes.,others,not from the lanes.,यात्रा से नहीं.,نہیں لانس سے.,सा. यु.,అడుగుజాడల్లో నుండి కాదు.,అడుగుజాడల్లో నుండి కాదు.,نہیں لانس سے.,ہْμéہج3⁄4ْ3⁄4î؟ ن?,అడుగుజాడల్లో నుండి కాదు.,نہیں لانس سے.,ലാസുകളിൽ നിന്നല്ല.
Kachre ka dher.,others,Kachre ka dher.,कतहर.,Kkochre ka दहर.,एम.,ഖാക്രേ കാ ഡഹര്‍.,ഖാക്രേ കാ ഡഹര്‍.,Kkochre ka दहर.,کُل‌وقتی مُناد,ഖാക്രേ കാ ഡഹര്‍.,Kkochre ka दहर.,കച്ചെരി a kind of deer.
The road has just washed away.,potholes,The road has just washed away.,रास्ते में अभी - अभी स्नान हो चुका है ।,રસ્તા දැන් धुली जा चुकी है.,जड पाणी जड झालं आहे.,ರಸ್ತೆ ಈಗಿಂದ ಇಳಿದಿದೆ.,ರಸ್ತೆ ಈಗಿಂದ ಇಳಿದಿದೆ.,રસ્તા දැන් धुली जा चुकी है.,سڑک صرف صاف ہے.,ರಸ್ತೆ ಈಗಿಂದ ಇಳಿದಿದೆ.,રસ્તા දැන් धुली जा चुकी है.,റോഡ് കുളിച്ചു പോയി.
The road is a novel that we have to be the first letter of.,potholes,The road is a novel that we have to be the first letter of.,मार्ग एक उपन्यास है जो हमें पहला पत्र होना चाहिए ।,सड़क एक उपनगर है जो हमें सबसे पहला पत्र होना चाहिए.,आमच्याकडे एक कादंबरी आहे.,ಈ ಹಿಂದೆ ತಿಳಿಸಲಾದ ಕೆನ್ಯದ ರಾಜಧಾನಿ ಎಲಿಸಬೇತ್‌ ನೌಕೆ.,ಈ ಹಿಂದೆ ತಿಳಿಸಲಾದ ಕೆನ್ಯದ ರಾಜಧಾನಿ ಎಲಿಸಬೇತ್‌ ನೌಕೆ.,सड़क एक उपनगर है जो हमें सबसे पहला पत्र होना चाहिए.,یہ راستہ ایک بہت ہی عجیب سی بات ہے جو ہمیں پہلے خط کا خط ہونا ہے۔,ಈ ಹಿಂದೆ ತಿಳಿಸಲಾದ ಕೆನ್ಯದ ರಾಜಧಾನಿ ಎಲಿಸಬೇತ್‌ ನೌಕೆ.,सड़क एक उपनगर है जो हमें सबसे पहला पत्र होना चाहिए.,റോഡ് ഒരു നോവൽ ആണ്. നമ്മൾ ആദ്യത്തെ കത്ത് ആയിരിക്കണം.
The road is a tale of broken promises.,potholes,The road is a tale of broken promises.,मार्ग टूटे वादों की कहानी है ।,सड़क टूटे ਵਾਅਦਿਆਂ की कहानी ਹੈ ।,"[ अभ्यासाचे प्रश् न] १, २.",ಅದು ಮುರಿದ ವಾಗ್ದಾನಗಳ ಕಥೆಯಾಗಿದೆ.,ಅದು ಮುರಿದ ವಾಗ್ದಾನಗಳ ಕಥೆಯಾಗಿದೆ.,सड़क टूटे ਵਾਅਦਿਆਂ की कहानी ਹੈ ।,سڑک شکستہ وعدوں کی داستان ہے ۔,ಅದು ಮುರಿದ ವಾಗ್ದಾನಗಳ ಕಥೆಯಾಗಿದೆ.,सड़क टूटे ਵਾਅਦਿਆਂ की कहानी ਹੈ ।,റോഡ് തകർന്ന വാഗ്ദാനങ്ങളുടെ കഥയാണ്.
The road is a play that we have to be the first act of.,potholes,The road is a play that we have to be the first act of.,मार्ग एक खेल है कि हमें पहला कार्य करना है.,रस्त्या ایک کھیل ہے جس کا ہمیں पहिला اظہار ہونا چاہئے.,(प्रे. कृत्ये २०: ३५; २ करिंथ.,"ರಸ್ತೆಯು, ನಾವು ಪ್ರಥಮ చర్యವಾಗಿರಬೇಕಾದ ಒಂದು ನಾಟಕವಾಗಿದೆ.","ರಸ್ತೆಯು, ನಾವು ಪ್ರಥಮ చర్యವಾಗಿರಬೇಕಾದ ಒಂದು ನಾಟಕವಾಗಿದೆ.",रस्त्या ایک کھیل ہے جس کا ہمیں पहिला اظہار ہونا چاہئے.,سڑک ایک ایسا کھیل ہے جسے ہمیں پہلے عمل کرنے کی ضرورت ہے ۔,"ರಸ್ತೆಯು, ನಾವು ಪ್ರಥಮ చర్యವಾಗಿರಬೇಕಾದ ಒಂದು ನಾಟಕವಾಗಿದೆ.",रस्त्या ایک کھیل ہے جس کا ہمیں पहिला اظہار ہونا چاہئے.,റോഡ് ഒരു നാടകമാണ്. നമ്മൾ ആദ്യം അഭിനയിക്കേണ്ട ഒരു നാടകമാണ്.
The road is a symphony that we have to be the first anthem of.,potholes,The road is a symphony that we have to be the first anthem of.,रास्ते में हमें सबसे पहले इनकी तरह होना चाहिए ।,सड़क एक सिमॉनी है जो हमें सबसे पहला गाना होना पड़ता है.,"पण, आता मात्र आपण या धोक्याच्या काळात जगत आहोत.","రహదారి అనేది ನಾವು మొదటి ಗೀತೆగా ఉండాలి, రహదారి.","రహదారి అనేది ನಾವು మొదటి ಗೀತೆగా ఉండాలి, రహదారి.",सड़क एक सिमॉनी है जो हमें सबसे पहला गाना होना पड़ता है.,یہ سڑک ہے جسے ہم سب سے پہلا درجہ ہونا چاہئے.,"రహదారి అనేది ನಾವು మొదటి ಗೀತೆగా ఉండాలి, రహదారి.",सड़क एक सिमॉनी है जो हमें सबसे पहला गाना होना पड़ता है.,റോഡ് ഒരു സിംഫണിയാണ്. നമ്മൾ ആദ്യം ഒരു ഗണിതം ആയിരിക്കണം.
Children can't play outside in the evening because it's too dark.,streetlight,Children can't play outside in the evening because it's too dark.,बच्चे शाम को बाहर नहीं खेल सकते क्योंकि यह बहुत अंधेरा है.,बच्चे शाम को बाहर नहीं खेल सकते क्योंकि यह बहुत ਹਨੇਰा है.,इंग्रजी बर् यापैकी बोलू नका.,సాయంకాలం పిల్లలు బయట ఆట ఆడకూడదు ఎందుకంటే అది చాలా గాఢాంధకారం.,సాయంకాలం పిల్లలు బయట ఆట ఆడకూడదు ఎందుకంటే అది చాలా గాఢాంధకారం.,बच्चे शाम को बाहर नहीं खेल सकते क्योंकि यह बहुत ਹਨੇਰा है.,بچے شام میں باہر نہیں کھیل سکتے کیونکہ یہ بہت تاریک ہے۔,సాయంకాలం పిల్లలు బయట ఆట ఆడకూడదు ఎందుకంటే అది చాలా గాఢాంధకారం.,बच्चे शाम को बाहर नहीं खेल सकते क्योंकि यह बहुत ਹਨੇਰा है.,കുട്ടികൾക്ക് വൈകുന്നേരം കളിക്കാൻ പറ്റില്ല കാരണം ഇരുട്ടാണ്.
The streetlight is a dance that we have to be the first presentation of.,streetlight,The streetlight is a dance that we have to be the first presentation of.,सड़क की रोशनी एक नृत्य है जिसे हमें पहला प्रस्तुति होना है ।,सड़कलाइट एक नृत्य है जो हमें सबसे पहले प्रस्तुतीकरण होना पड़ता है.,हे पाहून आम्हाला खूप आनंद होतो.,వీధుల ರೇವು ಒಂದು ನೃತ್ಯವಾಗಿದೆ.,వీధుల ರೇವು ಒಂದು ನೃತ್ಯವಾಗಿದೆ.,सड़कलाइट एक नृत्य है जो हमें सबसे पहले प्रस्तुतीकरण होना पड़ता है.,سڑک ایک ایسی رقص ہے جسے ہمیں پہلی پیشکش ہونا ہے۔,వీధుల ರೇವು ಒಂದು ನೃತ್ಯವಾಗಿದೆ.,सड़कलाइट एक नृत्य है जो हमें सबसे पहले प्रस्तुतीकरण होना पड़ता है.,നമുക്ക് ആദ്യ അവതരണം എന്ന ഒരു നൃത്തമാണ് തെരുവ് ലൈറ്റ്.
Light ka aana jaana laga rehta hai.,streetlight,Light ka aana jaana laga rehta hai.,प्रकाश काना कुना शेषता।,लाइट का कायायायाना बाना रेथा हाय.,प्रकाशमान होत चाललेल्या मार्गावर चालत राहा,Lighna caana aaa loga rehahahahahahae.,Lighna caana aaa loga rehahahahahahae.,लाइट का कायायायाना बाना रेथा हाय.,روشنی کی روشنی ایک نہایت خطرناک منظر کی شکل اختیار کر لیتی ہے ۔,Lighna caana aaa loga rehahahahahahae.,लाइट का कायायायाना बाना रेथा हाय.,"പ്രകാശ അലയാനാ, ലാന്റാ റെഹഹഹായി."
The road is a novel that we have to read.,potholes,The road is a novel that we have to read.,मार्ग एक उपन्यास है जिसे हमें पढ़ना है ।,सड़क एक उपनगर है जिसे हमें पढ़ना होगा.,आम्ही एक जपानी चित्रपट पाहिला आहे.,ನಾವದು ಓದಲೇಬೇಕಾದ ಒಂದು ವೀಕ್ಷಣೆ.,ನಾವದು ಓದಲೇಬೇಕಾದ ಒಂದು ವೀಕ್ಷಣೆ.,सड़क एक उपनगर है जिसे हमें पढ़ना होगा.,یہ سڑک ایک انتہائی پُرمعنی ہے جو ہمیں پڑھنا ہے ۔,ನಾವದು ಓದಲೇಬೇಕಾದ ಒಂದು ವೀಕ್ಷಣೆ.,सड़क एक उपनगर है जिसे हमें पढ़ना होगा.,നമുക്ക് വായിക്കേണ്ട ഒരു നോവൽ ആണ് റോഡ്.
Raat me andhera rehta hai,streetlight,Raat me andhera rehta hai,मुझे और हेलेना राइना रो,रात मी आणि हेरहरा रीघता थाई,"माझं म्हणणं होतं, की इ. स. पू.","నాకు ಮತ್ತು രത്‌, Rehhatha hathy.","నాకు ಮತ್ತು രത്‌, Rehhatha hathy.",रात मी आणि हेरहरा रीघता थाई,مَیں نے اِس بات پر غور کِیا کہ یہوواہ خدا نے اُنہیں کس مقصد کے لئے خلق کِیا ہے ۔,"నాకు ಮತ್ತು രത്‌, Rehhatha hathy.",रात मी आणि हेरहरा रीघता थाई,രത്നവും റീഹാത്തയും
The road is unsafe for two-wheelers.,potholes,The road is unsafe for two-wheelers.,सड़क दोधारीों के लिए असुरक्षित है.,सड़क બે-चार व्हीलर्स के लिए असुरक्षित है।,दोन-दोन-डिड-हसिड-हल-हल-हस-हस-हस-हल-हस-हस-हल-हल-हल-हस-हल-हल-हल-हल-हस- आहे.,రహదారి రెండు-గౌరదుదారుల రహదారి సురక్షిత .,రహదారి రెండు-గౌరదుదారుల రహదారి సురక్షిత .,सड़क બે-चार व्हीलर्स के लिए असुरक्षित है।,سڑک دو منہوں کے لئے خطرناک ہے.,రహదారి రెండు-గౌరదుదారుల రహదారి సురక్షిత .,सड़क બે-चार व्हीलर्स के लिए असुरक्षित है।,റോഡ് സുരക്ഷിതമല്ല.
The streetlight is a play that we have to be the first line of.,streetlight,The streetlight is a play that we have to be the first line of.,सड़क की रोशनी एक खेल है कि हमें पहली लाइन होना है.,सड़क - उजियाला एक नाटक है जो हमें सबसे पहली लाइन होना चाहिए ।,आमच्या गाडीला आग लागली आहे.,స్ట్రీట్‌ లైట్‌ అనేది మనం మొదటగా ప్లే చేసుకోవాల్సిన ఒక నాటకం.,స్ట్రీట్‌ లైట్‌ అనేది మనం మొదటగా ప్లే చేసుకోవాల్సిన ఒక నాటకం.,सड़क - उजियाला एक नाटक है जो हमें सबसे पहली लाइन होना चाहिए ।,سڑک ایک ایسا کھیل ہے جسے ہمیں پہلی لائن ہونا ہے۔,స్ట్రీట్‌ లైట్‌ అనేది మనం మొదటగా ప్లే చేసుకోవాల్సిన ఒక నాటకం.,सड़क - उजियाला एक नाटक है जो हमें सबसे पहली लाइन होना चाहिए ।,തെരുവ് ലൈറ്റ് ഒരു നാടകമാണ്. നമ്മൾ ആദ്യ നിരയായി മാറണം.
The road is a picture that we have to paint.,potholes,The road is a picture that we have to paint.,मार्ग एक ऐसी तस्वीर है जिसे हमें रंगना है ।,( متی ۲۴: ४५ - ४७ ) मार्ग एक चित्र है जिसे रंगना ज़रूरी है.,हे चित्र आपण पुढच्या लेखात पाहू या.,రహదారి మనం చిత్రీకరించాల్సిన ఒక వర్ణన.,రహదారి మనం చిత్రీకరించాల్సిన ఒక వర్ణన.,( متی ۲۴: ४५ - ४७ ) मार्ग एक चित्र है जिसे रंगना ज़रूरी है.,سڑک ایک ایسی تصویر ہے جسے ہمیں رنگ دینا پڑتا ہے ۔,రహదారి మనం చిత్రీకరించాల్సిన ఒక వర్ణన.,( متی ۲۴: ४५ - ४७ ) मार्ग एक चित्र है जिसे रंगना ज़रूरी है.,നമുക്ക് പെയിന്റിംഗ് ചെയ്യേണ്ട ഒരു ചിത്രമാണ് റോഡ്.
Driving on this road feels like an off-road adventure.,potholes,Driving on this road feels like an off-road adventure.,इस सड़क पर काम करना एक दूर रास्ते की यात्रा की तरह लगता है.,এই রাস্তায় ড্রাইভিং করলে মনে হচ্ছে একটি পথ-দক্ষিণ অভিযান.,या लेखात आपण काही नावे बदलण्यात आली आहेत.,ఈ రహదారి న డ్రైవింగ్ ఆఫ్ ప్రయాణించే సాహసం వంటి అనిపిస్తుంది.,ఈ రహదారి న డ్రైవింగ్ ఆఫ్ ప్రయాణించే సాహసం వంటి అనిపిస్తుంది.,এই রাস্তায় ড্রাইভিং করলে মনে হচ্ছে একটি পথ-দক্ষিণ অভিযান.,اس سڑک پر باہر ایک سڑک کی طرح لگتا ہے.,ఈ రహదారి న డ్రైవింగ్ ఆఫ్ ప్రయాణించే సాహసం వంటి అనిపిస్తుంది.,এই রাস্তায় ড্রাইভিং করলে মনে হচ্ছে একটি পথ-দক্ষিণ অভিযান.,ഈ റോഡിൽ മുങ്ങുന്നത് ഒരു സാഹസിക യാത്രയാണ്.
Pothole here.,potholes,Pothole here.,यहीं रुक जाओ.,এখানে षड्यंत्र।,इथे सही कर.,ఇక్కడ അലങ്കോലമായി.,ఇక్కడ അലങ്കോലമായി.,এখানে षड्यंत्र।,یہیں ہے.,ఇక్కడ അലങ്കോലമായി.,এখানে षड्यंत्र।,പോട്ട് ഇവിടെ.
Gaddhe ke karan roj yahan jam lagta hai.,others,Gaddhe ke karan roj yahan jam lagta hai.,गाद हेकेन काकेन और लरेन का भाई म्ना।,गादहे केकरान रोज याहन जैग बांता थाई.,सा. यु. पू.,ഗാദ്ഹെ കറാന്‍ ക്രോഹാന്‍ ജാം ലോഗാ ഹായി.,ഗാദ്ഹെ കറാന്‍ ക്രോഹാന്‍ ജാം ലോഗാ ഹായി.,गादहे केकरान रोज याहन जैग बांता थाई.,ہْμéہج 3⁄4ئ ́آμéہ؛خ؟ ّ ́آ °إ3⁄4ك,ഗാദ്ഹെ കറാന്‍ ക്രോഹാന്‍ ജാം ലോഗാ ഹായി.,गादहे केकरान रोज याहन जैग बांता थाई.,ഗാദ് ഖാദി-കറാൻ-ഹജാൻ ജംലാം നദീതീരത്താണ്.
The light outside my apartment is not working.,streetlight,The light outside my apartment is not working.,मेरे घर के बाहर प्रकाश काम नहीं कर रहा है.,मेरा अपार्टमेंट ਬਾਹਰ उजियाला काम नहीं ਕਰ ਰਿਹਾ ।,माझं दुकान बंद नाहीये.,ನನ್ನ అపార్ట్‌మెంట్‌ వెలుపల వెలుగు పని లేదు.,ನನ್ನ అపార్ట్‌మెంట్‌ వెలుపల వెలుగు పని లేదు.,मेरा अपार्टमेंट ਬਾਹਰ उजियाला काम नहीं ਕਰ ਰਿਹਾ ।,میرے کمرے سے باہر نور کام نہیں کر رہا ہے.,ನನ್ನ అపార్ట్‌మెంట్‌ వెలుపల వెలుగు పని లేదు.,मेरा अपार्टमेंट ਬਾਹਰ उजियाला काम नहीं ਕਰ ਰਿਹਾ ।,എന്റെ അപ്പാർട്ട്മെന്റിനു വെളിയിൽ വെളിച്ചം പ്രവർത്തിക്കുന്നില്ല.
The road is a painting that we have to be the first subject of.,potholes,The road is a painting that we have to be the first subject of.,सड़क एक पेंटिंग है कि हमें पहला विषय होना है.,सड़क হল एक रंगीन جس کا हमें पहिला विषय होना चाहिए.,या चित्राचे चित्र अगदी अचूक आहे.,ఆ రహదారి మనం మొదట చర్చించవలసిన ఒక చిత్రలేఖనం.,ఆ రహదారి మనం మొదట చర్చించవలసిన ఒక చిత్రలేఖనం.,सड़क হল एक रंगीन جس کا हमें पहिला विषय होना चाहिए.,سڑک ایک ایسی تصویر ہے جسے ہمیں پہلے موضوع کا حصہ ہونا چاہئے ۔,ఆ రహదారి మనం మొదట చర్చించవలసిన ఒక చిత్రలేఖనం.,सड़क হল एक रंगीन جس کا हमें पहिला विषय होना चाहिए.,റോഡ് ഒരു പെയിന്റിംഗാണ് നമ്മൾ ആദ്യം വിഷയം വെക്കേണ്ടത്.
